,Type,Subpopulation,Indicator,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
1,Combined,All Basins,Ammonia_Category,1,88,100,0,100,100,299122.1295,42659.60929,215510.8317,382733.4273
2,Combined,All Basins,Ammonia_Category,Total,88,100,0,100,100,299122.1295,42659.60929,215510.8317,382733.4273
3,Basin,ZONE 1,Ammonia_Category,1,15,100,0,100,100,14205.10035,344.9923019,13528.92786,14881.27284
4,Basin,ZONE 1,Ammonia_Category,Total,15,100,0,100,100,14205.10035,344.9923019,13528.92786,14881.27284
5,Basin,ZONE 2,Ammonia_Category,1,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
6,Basin,ZONE 2,Ammonia_Category,Total,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
7,Basin,ZONE 3,Ammonia_Category,1,15,100,0,100,100,107515.6024,3401.387686,100849.005,114182.1998
8,Basin,ZONE 3,Ammonia_Category,Total,15,100,0,100,100,107515.6024,3401.387686,100849.005,114182.1998
9,Basin,ZONE 4,Ammonia_Category,1,14,100,0,100,100,34220.87523,129.4936177,33967.07241,34474.67806
10,Basin,ZONE 4,Ammonia_Category,Total,14,100,0,100,100,34220.87523,129.4936177,33967.07241,34474.67806
11,Basin,ZONE 5,Ammonia_Category,1,14,100,0,100,100,51821.10552,2365.842798,47184.13884,56458.07219
12,Basin,ZONE 5,Ammonia_Category,Total,14,100,0,100,100,51821.10552,2365.842798,47184.13884,56458.07219
13,Basin,ZONE 6,Ammonia_Category,1,15,100,0,100,100,86855.80736,42456.31468,3642.959675,170068.655
14,Basin,ZONE 6,Ammonia_Category,Total,15,100,0,100,100,86855.80736,42456.31468,3642.959675,170068.655
15,Combined,All Basins,TN_Category,0,30,67.64179183,4.747632788,58.33660256,76.94698111,202331.5682,45308.36249,113528.8095,291134.3269
16,Combined,All Basins,TN_Category,1,58,32.35820817,4.747632788,23.05301889,41.66339744,96790.56133,13517.85073,70296.06075,123285.0619
17,Combined,All Basins,TN_Category,Total,88,100,0,100,100,299122.1295,42659.60929,215510.8317,382733.4273
18,Basin,ZONE 1,TN_Category,0,3,17.18000095,7.852369908,1.789638735,32.57036316,2440.436375,1069.909443,343.4524006,4537.420349
19,Basin,ZONE 1,TN_Category,1,12,82.81999905,7.852369908,67.42963684,98.21036127,11764.66398,1349.963894,9118.783364,14410.54459
20,Basin,ZONE 1,TN_Category,Total,15,100,0,100,100,14205.10035,344.9923019,13528.92786,14881.27284
21,Basin,ZONE 2,TN_Category,0,1,6.398403479,5.149615147,0,16.4914637,288.1609707,232.6007189,0,744.0500026
22,Basin,ZONE 2,TN_Category,1,14,93.60159652,5.149615147,83.5085363,100,4215.477659,224.1801918,3776.092557,4654.862761
23,Basin,ZONE 2,TN_Category,Total,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
24,Basin,ZONE 3,TN_Category,0,9,62.70783308,11.3983399,40.36749739,85.04816876,67420.70449,13515.22356,40931.35308,93910.0559
25,Basin,ZONE 3,TN_Category,1,6,37.29216692,11.3983399,14.95183124,59.63250261,40094.89792,11626.94068,17306.51294,62883.28289
26,Basin,ZONE 3,TN_Category,Total,15,100,0,100,100,107515.6024,3401.387686,100849.005,114182.1998
27,Basin,ZONE 4,TN_Category,0,6,42.89484852,11.05530181,21.22685513,64.56284191,14678.99259,3779.256603,7271.785765,22086.19942
28,Basin,ZONE 4,TN_Category,1,8,57.10515148,11.05530181,35.43715809,78.77314487,19541.88264,3789.755969,12114.09743,26969.66785
29,Basin,ZONE 4,TN_Category,Total,14,100,0,100,100,34220.87523,129.4936177,33967.07241,34474.67806
30,Basin,ZONE 5,TN_Category,0,8,60.52435617,11.52936386,37.92721823,83.1214941,31364.39047,6768.921308,18097.54849,44631.23245
31,Basin,ZONE 5,TN_Category,1,6,39.47564383,11.52936386,16.8785059,62.07278177,20456.71504,5595.007243,9490.702355,31422.72773
32,Basin,ZONE 5,TN_Category,Total,14,100,0,100,100,51821.10552,2365.842798,47184.13884,56458.07219
33,Basin,ZONE 6,TN_Category,0,3,99.17458128,0.492076043,98.21012996,100,86138.88326,42531.00703,2779.641267,169498.1253
34,Basin,ZONE 6,TN_Category,1,12,0.825418721,0.492076043,0,1.789870043,716.9240945,86.73717748,546.9223505,886.9258385
35,Basin,ZONE 6,TN_Category,Total,15,100,0,100,100,86855.80736,42456.31468,3642.959675,170068.655
36,Combined,All Basins,TP_Category,0,36,62.98245,4.890976932,53.39631136,72.56858863,188394.4456,45247.02275,99711.91065,277076.9806
37,Combined,All Basins,TP_Category,1,52,37.01755,4.890976932,27.43141137,46.60368864,110727.6839,14174.60342,82945.97166,138509.396
38,Combined,All Basins,TP_Category,Total,88,100,0,100,100,299122.1295,42659.60929,215510.8317,382733.4273
39,Basin,ZONE 1,TP_Category,0,6,40.66944816,10.43439643,20.21840695,61.12048937,5777.135924,1486.203662,2864.230273,8690.041574
40,Basin,ZONE 1,TP_Category,1,9,59.33055184,10.43439643,38.87951063,79.78159305,8427.964428,1500.104789,5487.813069,11368.11579
41,Basin,ZONE 1,TP_Category,Total,15,100,0,100,100,14205.10035,344.9923019,13528.92786,14881.27284
42,Basin,ZONE 2,TP_Category,0,2,12.04494165,5.108963235,2.031557711,22.05832559,542.4606451,228.0321038,95.52593422,989.3953559
43,Basin,ZONE 2,TP_Category,1,13,87.95505835,5.108963235,77.94167441,97.96844229,3961.177984,246.6819647,3477.690218,4444.665751
44,Basin,ZONE 2,TP_Category,Total,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
45,Basin,ZONE 3,TP_Category,0,7,48.47357911,11.99382519,24.9661137,71.98104451,52116.66058,13398.68772,25855.71521,78377.60595
46,Basin,ZONE 3,TP_Category,1,8,51.52642089,11.99382519,28.01895549,75.0338863,55398.94182,12576.83842,30748.79148,80049.09217
47,Basin,ZONE 3,TP_Category,Total,15,100,0,100,100,107515.6024,3401.387686,100849.005,114182.1998
48,Basin,ZONE 4,TP_Category,0,5,35.65852167,10.54039908,14.99971909,56.31732426,12202.65821,3593.63782,5159.257511,19246.05891
49,Basin,ZONE 4,TP_Category,1,9,64.34147833,10.54039908,43.68267574,85.00028091,22018.21702,3632.518263,14898.61205,29137.82199
50,Basin,ZONE 4,TP_Category,Total,14,100,0,100,100,34220.87523,129.4936177,33967.07241,34474.67806
51,Basin,ZONE 5,TP_Category,0,8,60.52435617,10.9836604,38.99677735,82.05193498,31364.39047,6611.187033,18406.70199,44322.07895
52,Basin,ZONE 5,TP_Category,1,6,39.47564383,10.9836604,17.94806502,61.00322265,20456.71504,5218.20506,10229.22106,30684.20903
53,Basin,ZONE 5,TP_Category,Total,14,100,0,100,100,51821.10552,2365.842798,47184.13884,56458.07219
54,Basin,ZONE 6,TP_Category,0,8,99.46501269,0.349232543,98.78052948,100,86391.13981,42530.9935,3031.924323,169750.3553
55,Basin,ZONE 6,TP_Category,1,7,0.534987314,0.349232543,0,1.21947052,464.6675506,80.61052522,306.6738244,622.6612768
56,Basin,ZONE 6,TP_Category,Total,15,100,0,100,100,86855.80736,42456.31468,3642.959675,170068.655
57,Combined,All Basins,DO_Category,0,4,3.85321722,2.212290266,0,8.189226464,11525.8254,6619.081857,0,24498.98745
58,Combined,All Basins,DO_Category,1,84,96.14678278,2.212290266,91.81077354,100,287596.3041,43159.88922,203004.4757,372188.1325
59,Combined,All Basins,DO_Category,Total,88,100,0,100,100,299122.1295,42659.60929,215510.8317,382733.4273
60,Basin,ZONE 1,DO_Category,0,2,14.30855971,8.632979289,0,31.2288882,2032.545266,1238.044601,0,4459.068096
61,Basin,ZONE 1,DO_Category,1,13,85.69144029,8.632979289,68.7711118,100,12172.55509,1197.025058,9826.429083,14518.68109
62,Basin,ZONE 1,DO_Category,Total,15,100,0,100,100,14205.10035,344.9923019,13528.92786,14881.27284
63,Basin,ZONE 2,DO_Category,1,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
64,Basin,ZONE 2,DO_Category,Total,15,100,0,100,100,4503.638629,34.20675214,4436.594627,4570.682632
65,Basin,ZONE 3,DO_Category,0,1,6.579396512,5.717284644,0,17.7850685,7073.877795,6146.987066,0,19121.75106
66,Basin,ZONE 3,DO_Category,1,14,93.42060349,5.717284644,82.2149315,100,100441.7246,6970.729214,86779.34641,114104.1028
67,Basin,ZONE 3,DO_Category,Total,15,100,0,100,100,107515.6024,3401.387686,100849.005,114182.1998
68,Basin,ZONE 4,DO_Category,0,1,7.069960442,6.199936841,0,19.22161336,2419.402342,2119.915142,0,6574.35967
69,Basin,ZONE 4,DO_Category,1,13,92.93003956,6.199936841,80.77838664,100,31801.47289,2148.27004,27590.94098,36012.0048
70,Basin,ZONE 4,DO_Category,Total,14,100,0,100,100,34220.87523,129.4936177,33967.07241,34474.67806
