"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Num_Exceed_PEC_Category","0",77,97.5695706397685,1.29546424072145,95.0305073846949,100,200732.917676672,5016.84064123492,190900.090703675,210565.74464967
"2","Combined","All Basins","Num_Exceed_PEC_Category","1",3,1.25443864358427,1.05701122239227,0,3.32614257072778,2580.79570630398,2177.98972811174,0,6849.57713210118
"3","Combined","All Basins","Num_Exceed_PEC_Category","2",1,1.17599071664726,1.04061033571549,0,3.21554949658976,2419.40234199482,2139.86508978318,0,6613.46084974442
"4","Combined","All Basins","Num_Exceed_PEC_Category","Total",81,100,0,100,100,205733.115724971,4265.02673749143,197373.816926388,214092.414523555
"5","Basin","ZONE 1","Num_Exceed_PEC_Category","0",15,100,0,100,100,14205.1003514775,344.992301896066,13528.9278648177,14881.2728381374
"6","Basin","ZONE 1","Num_Exceed_PEC_Category","Total",15,100,0,100,100,14205.1003514775,344.992301896066,13528.9278648177,14881.2728381374
"7","Basin","ZONE 2","Num_Exceed_PEC_Category","0",15,100,0,100,100,4503.63862928795,34.2067521412147,4436.59462706308,4570.68263151282
"8","Basin","ZONE 2","Num_Exceed_PEC_Category","Total",15,100,0,100,100,4503.63862928795,34.2067521412147,4436.59462706308,4570.68263151282
"9","Basin","ZONE 3","Num_Exceed_PEC_Category","0",14,100,0,100,100,100441.72461379,3529.29061225095,93524.4421228033,107359.007104778
"10","Basin","ZONE 3","Num_Exceed_PEC_Category","Total",14,100,0,100,100,100441.72461379,3529.29061225095,93524.4421228033,107359.007104778
"11","Basin","ZONE 4","Num_Exceed_PEC_Category","0",12,85.693712707052,7.78587750733354,70.4336732046378,100,29325.1385089093,2643.84120840955,24143.3049595838,34506.9720582349
"12","Basin","ZONE 4","Num_Exceed_PEC_Category","1",1,7.23632685082817,6.35178746034274,0,19.6856015105531,2476.33438315029,2177.05601325243,0,6743.2857614514
"13","Basin","ZONE 4","Num_Exceed_PEC_Category","2",1,7.06996044211979,6.25606461430624,0,19.3316217711155,2419.40234199482,2139.86508978318,0,6613.46084974442
"14","Basin","ZONE 4","Num_Exceed_PEC_Category","Total",14,100,0,100,100,34220.8752340545,129.493617726253,33967.0724070832,34474.6780610257
"15","Basin","ZONE 5","Num_Exceed_PEC_Category","0",14,100,0,100,100,51821.1055159118,2365.84279767608,47184.1388393832,56458.0721924404
"16","Basin","ZONE 5","Num_Exceed_PEC_Category","Total",14,100,0,100,100,51821.1055159118,2365.84279767608,47184.1388393832,56458.0721924404
"17","Basin","ZONE 6","Num_Exceed_PEC_Category","0",7,80.6793318583037,12.10351378071,56.9568807617278,100,436.210057295386,74.1587821088468,290.861515224693,581.558599366079
"18","Basin","ZONE 6","Num_Exceed_PEC_Category","1",2,19.3206681416963,12.10351378071,0,43.0431192382722,104.461323153695,63.7681026981123,0,229.444507804447
"19","Basin","ZONE 6","Num_Exceed_PEC_Category","Total",9,100,0,100,100,540.671380449082,19.7563961019574,501.949555624938,579.393205273226
"20","Combined","All Basins","Exceed_1_PEC_Category","0",77,97.5695706397685,1.29546424072145,95.0305073846949,100,200732.917676672,5016.84064123492,190900.090703675,210565.74464967
"21","Combined","All Basins","Exceed_1_PEC_Category","1",4,2.43042936023153,1.29546424072145,0,4.9694926153051,5000.1980482988,2669.02291716434,0,10231.3868398529
"22","Combined","All Basins","Exceed_1_PEC_Category","Total",81,100,0,100,100,205733.115724971,4265.02673749143,197373.816926388,214092.414523555
"23","Basin","ZONE 1","Exceed_1_PEC_Category","0",15,100,0,100,100,14205.1003514775,344.992301896066,13528.9278648177,14881.2728381374
"24","Basin","ZONE 1","Exceed_1_PEC_Category","Total",15,100,0,100,100,14205.1003514775,344.992301896066,13528.9278648177,14881.2728381374
"25","Basin","ZONE 2","Exceed_1_PEC_Category","0",15,100,0,100,100,4503.63862928795,34.2067521412147,4436.59462706308,4570.68263151282
"26","Basin","ZONE 2","Exceed_1_PEC_Category","Total",15,100,0,100,100,4503.63862928795,34.2067521412147,4436.59462706308,4570.68263151282
"27","Basin","ZONE 3","Exceed_1_PEC_Category","0",14,100,0,100,100,100441.72461379,3529.29061225095,93524.4421228033,107359.007104778
"28","Basin","ZONE 3","Exceed_1_PEC_Category","Total",14,100,0,100,100,100441.72461379,3529.29061225095,93524.4421228033,107359.007104778
"29","Basin","ZONE 4","Exceed_1_PEC_Category","0",12,85.693712707052,7.78587750733354,70.4336732046378,100,29325.1385089093,2643.84120840955,24143.3049595838,34506.9720582349
"30","Basin","ZONE 4","Exceed_1_PEC_Category","1",2,14.306287292948,7.78587750733354,0,29.5663267953622,4895.73672514511,2668.26103697272,0,10125.4322589631
"31","Basin","ZONE 4","Exceed_1_PEC_Category","Total",14,100,0,100,100,34220.8752340545,129.493617726253,33967.0724070832,34474.6780610257
"32","Basin","ZONE 5","Exceed_1_PEC_Category","0",14,100,0,100,100,51821.1055159118,2365.84279767608,47184.1388393832,56458.0721924404
"33","Basin","ZONE 5","Exceed_1_PEC_Category","Total",14,100,0,100,100,51821.1055159118,2365.84279767608,47184.1388393832,56458.0721924404
"34","Basin","ZONE 6","Exceed_1_PEC_Category","0",7,80.6793318583037,12.10351378071,56.9568807617278,100,436.210057295386,74.1587821088468,290.861515224693,581.558599366079
"35","Basin","ZONE 6","Exceed_1_PEC_Category","1",2,19.3206681416963,12.10351378071,0,43.0431192382722,104.461323153695,63.7681026981123,0,229.444507804447
"36","Basin","ZONE 6","Exceed_1_PEC_Category","Total",9,100,0,100,100,540.671380449082,19.7563961019574,501.949555624938,579.393205273226
"37","Combined","All Basins","Arsenic_PEC_Category","0",81,100,0,100,100,205733.115724971,4265.02673749143,197373.816926388,214092.414523555
