"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Arsenic_Sediments",0.15,1,1.48917145653011,1.35413159756671,0,4.14322061808854,3089.17698470683,2765.20693709481,0,8508.88299121297
"2","Combined","All Basins","Arsenic_Sediments",0.18,2,3.32427078616807,1.90579693693657,0,7.0595641444105,6895.95597507081,3899.20325603731,0,14538.2539253052
"3","Combined","All Basins","Arsenic_Sediments",0.23,3,3.80331099500179,1.95434450217733,0,7.63375583265322,7889.68975998125,4000.10959820434,49.6190132877691,15729.7605066747
"4","Combined","All Basins","Arsenic_Sediments",0.28,4,5.63841032463976,2.30065332829114,1.12921266027692,10.1476079890026,11696.4687503452,4680.00212535649,2523.83313707562,20869.1043636149
"5","Combined","All Basins","Arsenic_Sediments",0.32,5,8.79570564127728,3.51151786734611,1.91325709021,15.6781541923446,18246.0463582895,7209.81354166574,4115.07148137544,32377.0212352035
"6","Combined","All Basins","Arsenic_Sediments",0.34,6,11.9530009579148,3.67278400062752,4.75447659368992,19.1515253221397,24795.6239662337,7497.90540065492,10099.9994214617,39491.2485110057
"7","Combined","All Basins","Arsenic_Sediments",0.35,7,12.0937406270418,3.67463586093844,4.89158668330312,19.2958945707805,25087.5780893106,7501.8076099942,10384.3053547735,39790.8508238477
"8","Combined","All Basins","Arsenic_Sediments",0.51,8,13.5829120835719,3.87931068796279,5.97960285032356,21.1862213168203,28176.7550740174,7870.53832660991,12750.7834149199,43602.726733115
"9","Combined","All Basins","Arsenic_Sediments",0.54,9,16.0975684729924,4.24292469831121,7.781588875187,24.4135480707979,33393.2253525604,8836.53384182052,16073.9372744228,50712.513430698
"10","Combined","All Basins","Arsenic_Sediments",0.55,10,17.2700217790131,4.35393926519046,8.73645762836505,25.8035859296612,35825.3937591735,9065.27536564287,18057.7805325753,53593.0069857717
"11","Combined","All Basins","Arsenic_Sediments",0.58,11,18.5120892647129,4.47062368092286,9.74982786167222,27.2743506677536,38401.97167668,9308.76029241143,20157.1367628371,56646.8065905229
"12","Combined","All Basins","Arsenic_Sediments",0.61,12,18.9553253342423,4.48890820186013,10.1572269286899,27.7534237397946,39321.4324001432,9345.52299138076,21004.5439203459,57638.3208799405
"13","Combined","All Basins","Arsenic_Sediments",0.62,13,19.3985614037716,4.49939957748903,10.5799002798384,28.2172225277048,40240.8931236064,9365.86671146472,21884.131685133,58597.6545620799
"14","Combined","All Basins","Arsenic_Sediments",0.7,14,19.4246572941054,4.49945871824177,10.6058802564268,28.243434331784,40295.0271344761,9365.98655423782,21938.0308084836,58652.0234604686
"15","Combined","All Basins","Arsenic_Sediments",0.72,15,21.2597566237433,4.42058972880813,12.5955599648517,29.923953282635,44101.8061248401,9194.64288862631,26080.6372124252,62122.975037255
"16","Combined","All Basins","Arsenic_Sediments",0.73,16,24.396302817508,4.71825789130368,15.1486872807809,33.6439183542351,50608.3411989306,9705.8178090408,31585.2878527032,69631.394545158
"17","Combined","All Basins","Arsenic_Sediments",0.76,17,25.9650474293807,4.7705007696287,16.6150377326878,35.3150571260735,53862.5868592468,9759.91070751352,34733.5133801934,72991.6603383001
