"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"1","Combined","All Basins","Mercury_Sediments","5Pct",2,0.00227092252834452,"",0.00083,0.00333816210469419
"2","Combined","All Basins","Mercury_Sediments","10Pct",6,0.00297648348473428,"",0.00124544298406067,0.0100825783780611
"3","Combined","All Basins","Mercury_Sediments","25Pct",22,0.0182994578144756,"",0.00697264582185839,0.0247089908325398
"4","Combined","All Basins","Mercury_Sediments","50Pct",47,0.132155598935295,"",0.0644185152193837,0.155605983959071
"5","Combined","All Basins","Mercury_Sediments","75Pct",58,0.180840795175811,"",0.156897540439551,0.218800904487168
"6","Combined","All Basins","Mercury_Sediments","90Pct",71,0.257557327465471,"",0.207125664214666,0.268766477858455
"7","Combined","All Basins","Mercury_Sediments","95Pct",73,0.26667077527361,"",0.246718599738872,1.6
"8","Combined","All Basins","Mercury_Sediments","Mean",81,0.135162434718681,"0.0176453927061361",0.100578100521588,0.169746768915774
"9","Combined","All Basins","Mercury_Sediments","Variance",81,0.0308286088354772,"0.0188713141815438",0,0.067815704972243
"10","Combined","All Basins","Mercury_Sediments","Std. Deviation",81,0.132710211451515,"0.0246703841628009",0.0843571470076582,0.181063275895372
"11","Basin","ZONE 1","Mercury_Sediments","5Pct",0,0.00227790023354291,"",0.00227419212917738,0.00228160833790844
"12","Basin","ZONE 1","Mercury_Sediments","10Pct",1,0.00632871125737757,"",0.00083,0.0111885295811793
"13","Basin","ZONE 1","Mercury_Sediments","25Pct",3,0.0117428874287102,"",0.00228654452264617,0.0207537752214942
"14","Basin","ZONE 1","Mercury_Sediments","50Pct",7,0.0262750733813517,"",0.0119530693350678,0.0845761067030796
"15","Basin","ZONE 1","Mercury_Sediments","75Pct",11,0.0849239347503452,"",0.0301460538279547,0.214725457505021
"16","Basin","ZONE 1","Mercury_Sediments","90Pct",13,0.155502760034768,"",0.0844311686132693,0.22
"17","Basin","ZONE 1","Mercury_Sediments","95Pct",14,0.212282454716718,"",0.106574825237777,0.22
"18","Basin","ZONE 1","Mercury_Sediments","Mean",15,0.0588755508996644,"0.015310575168415",0.0288673749869778,0.0888837268123511
"19","Basin","ZONE 1","Mercury_Sediments","Variance",15,0.00390728982470304,"0.00141949812006589",0.00112512463325159,0.0066894550161545
"20","Basin","ZONE 1","Mercury_Sediments","Std. Deviation",15,0.0625083180441055,"0.0113544738083042",0.0402539583164259,0.0847626777717851
"21","Basin","ZONE 2","Mercury_Sediments","5Pct",0,0.0024544161328733,"",0.002452117397027,0.0024567148687196
"22","Basin","ZONE 2","Mercury_Sediments","10Pct",1,0.00285111868636883,"",0.00083,0.0909127801317431
"23","Basin","ZONE 2","Mercury_Sediments","25Pct",3,0.106776648979112,"",0.00281672410746365,0.164124619553342
"24","Basin","ZONE 2","Mercury_Sediments","50Pct",7,0.181886921986683,"",0.110165007233941,0.241001077680933
"25","Basin","ZONE 2","Mercury_Sediments","75Pct",11,0.242601180958296,"",0.18479896128211,0.295763303503942
"26","Basin","ZONE 2","Mercury_Sediments","90Pct",13,0.280993325815832,"",0.241800285727718,0.33
"27","Basin","ZONE 2","Mercury_Sediments","95Pct",14,0.300993325815832,"",0.256587361573781,0.33
"28","Basin","ZONE 2","Mercury_Sediments","Mean",15,0.164969755395491,"0.0222583533963749",0.121344184383431,0.20859532640755
"29","Basin","ZONE 2","Mercury_Sediments","Variance",15,0.00984717795693736,"0.0025675093121408",0.00481495217517017,0.0148794037387045
"30","Basin","ZONE 2","Mercury_Sediments","Std. Deviation",15,0.0992329479403759,"0.012936778385761",0.0738773282283081,0.124588567652444
"31","Basin","ZONE 3","Mercury_Sediments","5Pct",0,0.00188007403659191,"",0.00180775689174511,0.0019523911814387
"32","Basin","ZONE 3","Mercury_Sediments","10Pct",1,0.00266094413251823,"",0.00083,0.060502822892157
"33","Basin","ZONE 3","Mercury_Sediments","25Pct",3,0.0756500127718941,"",0.0027293197205105,0.148378518786358
