"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Ammonia_Category","1",88,100,0,100,100,300847.277123226,42668.8279823353,217217.911015314,384476.643231138
"2","Combined","All Basins","Ammonia_Category","Total",88,100,0,100,100,300847.277123226,42668.8279823353,217217.911015314,384476.643231138
"3","Basin","ZONE 1","Ammonia_Category","1",15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"4","Basin","ZONE 1","Ammonia_Category","Total",15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"5","Basin","ZONE 2","Ammonia_Category","1",15,100,0,100,100,4508.24266619525,34.2417214543192,4441.13012537614,4575.35520701437
"6","Basin","ZONE 2","Ammonia_Category","Total",15,100,0,100,100,4508.24266619525,34.2417214543192,4441.13012537614,4575.35520701437
"7","Basin","ZONE 3","Ammonia_Category","1",15,100,0,100,100,107473.148789064,3400.04461344486,100809.183800883,114137.113777245
"8","Basin","ZONE 3","Ammonia_Category","Total",15,100,0,100,100,107473.148789064,3400.04461344486,100809.183800883,114137.113777245
"9","Basin","ZONE 4","Ammonia_Category","1",14,100,0,100,100,34665.8661628987,131.177487143307,34408.7630125153,34922.969313282
"10","Basin","ZONE 4","Ammonia_Category","Total",14,100,0,100,100,34665.8661628987,131.177487143307,34408.7630125153,34922.969313282
"11","Basin","ZONE 5","Ammonia_Category","1",14,100,0,100,100,51843.2885665996,2366.85554354821,47204.3369446362,56482.2401885631
"12","Basin","ZONE 5","Ammonia_Category","Total",14,100,0,100,100,51843.2885665996,2366.85554354821,47204.3369446362,56482.2401885631
"13","Basin","ZONE 6","Ammonia_Category","1",15,100,0,100,100,86874.3121536675,42465.3600757266,3643.7358147183,170104.888492617
"14","Basin","ZONE 6","Ammonia_Category","Total",15,100,0,100,100,86874.3121536675,42465.3600757266,3643.7358147183,170104.888492617
"15","Combined","All Basins","TN_Category","0",30,67.3921142480574,4.72649762407716,58.1283491318521,76.6558793642628,202747.340711054,45322.2095294233,113917.442333607,291577.239088502
"16","Combined","All Basins","TN_Category","1",58,32.6078857519426,4.72649762407716,23.3441206357372,41.8716508681479,98099.9364121716,13541.4506366422,71559.1808659258,124640.691958417
"17","Combined","All Basins","TN_Category","Total",88,100,0,100,100,300847.277123226,42668.8279823353,217217.911015314,384476.643231138
"18","Basin","ZONE 1","TN_Category","0",3,17.1800009481103,7.85236990814338,1.78963873486321,32.5703631613574,2659.87969401921,1166.11538418817,374.335539192311,4945.4238488461
"19","Basin","ZONE 1","TN_Category","1",12,82.8199990518897,7.85236990814338,67.4296368386426,98.2103612651368,12822.5390907817,1471.35224899304,9938.74167418332,15706.3365073801
"20","Basin","ZONE 1","TN_Category","Total",15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"21","Basin","ZONE 2","TN_Category","0",1,6.39840347851016,5.14961514707028,0,16.4914637010099,288.455555573517,232.838504938352,0,744.810639466837
"22","Basin","ZONE 2","TN_Category","1",14,93.6015965214899,5.14961514707028,83.5085362989902,100,4219.78711062174,224.409369583823,3779.95282844411,4659.62139279937
"23","Basin","ZONE 2","TN_Category","Total",15,100,0,100,100,4508.24266619525,34.2417214543192,4441.13012537614,4575.35520701437
"24","Basin","ZONE 3","TN_Category","0",9,62.7078330766609,11.3983398982671,40.3674973925113,85.0481687608104,67394.0827448777,13509.8869345386,40915.1909179739,93872.9745717815
"25","Basin","ZONE 3","TN_Category","1",6,37.2921669233391,11.3983398982671,14.9518312391896,59.6325026074887,40079.0660441864,11622.3496608242,17299.6792932397,62858.452795133
"26","Basin","ZONE 3","TN_Category","Total",15,100,0,100,100,107473.148789064,3400.04461344486,100809.183800883,114137.113777245
"27","Basin","ZONE 4","TN_Category","0",6,42.8948485215047,11.055301812818,21.2268551301612,64.5628419128483,14869.870779243,3828.40014125494,7366.34438397521,22373.3971745107
"28","Basin","ZONE 4","TN_Category","1",8,57.1051514784953,11.055301812818,35.4371580871517,78.7731448698389,19795.9953836557,3839.03603623725,12271.6230172793,27320.3677500321
"29","Basin","ZONE 4","TN_Category","Total",14,100,0,100,100,34665.8661628987,131.177487143307,34408.7630125153,34922.969313282
"30","Basin","ZONE 5","TN_Category","0",8,60.5243561660006,11.529363864174,37.9272182275621,83.1214941044392,31377.8166202162,6771.81887902332,18105.2955075021,44650.3377329303
"31","Basin","ZONE 5","TN_Category","1",6,39.4756438339994,11.529363864174,16.8785058955608,62.0727817724379,20465.4719463834,5597.4022964975,9494.7650382665,31436.1788545003
"32","Basin","ZONE 5","TN_Category","Total",14,100,0,100,100,51843.2885665996,2366.85554354821,47204.3369446362,56482.2401885631
"33","Basin","ZONE 6","TN_Category","0",3,99.1745812786705,0.492076042941327,98.2101299568505,100,86157.2353171248,42540.0683381498,2780.23347447856,169534.237159771
