"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","Water_Temperature",25.3,1,0.808834286537728,0.709299794903945,0,2.19903633879111,2419.40234199482,2119.91514189081,0,6574.35967038193
"2","Combined","All Basins","Water_Temperature",26.3,2,0.893849619501832,0.712797657545052,0,2.29090735655465,2673.70201635615,2130.21747133753,0,6848.85153941569
"3","Combined","All Basins","Water_Temperature",26.4,3,1.69651430460612,0.867819853061238,0,3.39740996167499,5074.64971516177,2588.29620906221,1.68236407829318,10147.6170662452
"4","Combined","All Basins","Water_Temperature",26.5,4,2.51551773339875,0.820208194982125,0.90793921140918,4.12309625538832,7524.47021202105,2443.95195283212,2734.41240452375,12314.5280195183
"5","Combined","All Basins","Water_Temperature",26.741,5,4.70598248012079,1.98161957563473,0.822079480817173,8.5898854794244,14076.6350083006,5898.29280676043,2516.19353677849,25637.0764798227
"6","Combined","All Basins","Water_Temperature",26.88,6,5.01079093316037,1.99781675593333,1.0951420438204,8.92643982250034,14988.3845439199,5947.1461170856,3332.19234363493,26644.5767442049
"7","Combined","All Basins","Water_Temperature",26.9,7,5.10829490780848,1.99950444914003,1.18933820056643,9.02725161505053,15280.0405092317,5952.14194028836,3614.05667539621,26946.0243430673
"8","Combined","All Basins","Water_Temperature",27,8,5.91095959291277,2.12151266878845,1.75287116934196,10.0690480164836,17680.9882080374,6314.22010931881,5305.34420331394,30056.6322127608
"9","Combined","All Basins","Water_Temperature",27.106,9,8.83681436802867,3.2597385727193,2.44784416648283,15.2257845695745,26432.8673173584,9859.98320826505,7107.65534098922,45758.0792937276
"10","Combined","All Basins","Water_Temperature",27.223,10,11.2016938260803,3.8383300789853,3.67870511049235,18.7246825416683,33506.7451123234,11619.1531038615,10733.6234978981,56279.8667267487
"11","Combined","All Basins","Water_Temperature",27.28,11,12.010528112618,3.90207016799525,4.36261111819921,19.6584451070369,35926.1474543182,11803.5733609311,12791.5687780168,59060.7261306197
"12","Combined","All Basins","Water_Temperature",27.3,12,12.1143216491312,3.90315073364636,4.46428678495324,19.7643565133091,36236.6168910168,11806.7294049452,13095.8524821142,59377.3812999193
"13","Combined","All Basins","Water_Temperature",27.357,13,14.2317535780664,4.17606432844151,6.04681789719861,22.4166892589342,42570.3243675006,12480.4735847058,18109.0456314738,67031.6031035274
"14","Combined","All Basins","Water_Temperature",27.501,14,16.3491855070017,4.41945978753651,7.68720349230705,25.0111675216963,48904.0318439845,13102.5217754025,23223.5610575438,74584.5026304252
"15","Combined","All Basins","Water_Temperature",27.513,15,18.5252549509027,4.49818064701374,9.70898288680066,27.3415270150047,55413.1371039182,13234.4981904404,29473.9972971945,81352.276910642
"16","Combined","All Basins","Water_Temperature",27.57,16,19.3531222796467,4.52901830293854,10.4764095205644,28.2298350387289,57889.4714870685,13330.029235076,31763.0942734536,84015.8487006835
"17","Combined","All Basins","Water_Temperature",27.6,17,19.4506262542948,4.52939563126325,10.5731739452858,28.3280785633038,58181.1274523803,13331.1351344997,32052.5827157245,84309.6721890362
"18","Combined","All Basins","Water_Temperature",27.694,18,21.6266956981958,4.54158367843468,12.7253552556889,30.5280361407027,64690.2327123141,13200.9300761381,38816.8852006518,90563.5802239763
"19","Combined","All Basins","Water_Temperature",27.7,19,21.7305075768644,4.5423402562846,12.8276842690202,30.6333308847087,65000.7570144587,13203.220294686,39122.9207569258,90878.5932719917
"20","Combined","All Basins","Water_Temperature",27.8,20,22.7628134020233,4.63295855441168,13.6823814935096,31.8432453105369,68088.6121815971,13475.8971868049,41676.3390360948,94500.8853270993
"21","Combined","All Basins","Water_Temperature",27.898,21,25.6886681771392,4.50714076090279,16.8548346125173,34.5225017417611,76840.4912909181,13494.4684468438,50391.8191445921,103289.163437244
"22","Combined","All Basins","Water_Temperature",27.97,22,25.9963391891781,4.50760224937674,17.161601123768,34.8310772545882,77760.8033739744,13496.127671571,51308.8792069408,104212.727541008
"23","Combined","All Basins","Water_Temperature",28,23,26.8242065179221,4.52754033856011,17.950390515792,35.6980225200522,80237.1377571247,13556.5541961834,53666.7797781398,106807.49573611
"24","Combined","All Basins","Water_Temperature",28.1,24,27.6330408044598,4.52221259872152,18.7696669805324,36.4964146283873,82656.5400991195,13538.6723779006,56121.2298399471,109191.850358292
