"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","TNTStatus","T",108,96.5048690651619,1.26469421297077,94.026113956283,98.9836241740408,370939.487418563,46828.0681207653,279158.160436274,462720.814400851
"2","Combined","All Basins","TNTStatus","NT",8,3.49513093483811,1.26469421297077,1.01637582595918,5.97388604371705,13434.3695814374,4853.9735820033,3920.75617880208,22947.9829840728
"3","Combined","All Basins","TNTStatus","Total",116,100,0,100,100,384373.857,46545.5924548807,293146.172149355,475601.541850645
"4","Basin","ZONE 1","TNTStatus","T",17,87.54350434879,5.39418614402538,76.9710937805953,98.1159149169848,16037.1619701532,1170.89923445967,13742.2416410867,18332.0822992197
"5","Basin","ZONE 1","TNTStatus","NT",3,12.45649565121,5.39418614402538,1.88408508301524,23.0289062194047,2281.91502984681,972.102347024482,376.629440391965,4187.20061930165
"6","Basin","ZONE 1","TNTStatus","Total",20,100,0,100,100,18319.077,444.853300322354,17447.1805529644,19190.9734470356
"7","Basin","ZONE 2","TNTStatus","T",26,100,0,100,100,7646.538,56.5752865291183,7535.65247598789,7757.42352401211
"8","Basin","ZONE 2","TNTStatus","Total",26,100,0,100,100,7646.538,56.5752865291183,7535.65247598789,7757.42352401211
"9","Basin","ZONE 3","TNTStatus","T",17,100,0,100,100,121141.645,3369.15994640427,114538.212846893,127745.077153107
"10","Basin","ZONE 3","TNTStatus","Total",17,100,0,100,100,121141.645,3369.15994640427,114538.212846893,127745.077153107
"11","Basin","ZONE 4","TNTStatus","T",15,83.3928335237408,8.02675393574758,67.6606848969105,99.1249821505712,36640.2775760493,3544.5124231318,29693.1608839562,43587.3942681424
"12","Basin","ZONE 4","TNTStatus","NT",3,16.6071664762592,8.02675393574758,0.875017849428789,32.3393151030896,7296.68442395073,3523.6163060057,390.523368841503,14202.84547906
"13","Basin","ZONE 4","TNTStatus","Total",18,100,0,100,100,43936.962,139.724266932724,43663.1074690456,44210.8165309544
"14","Basin","ZONE 5","TNTStatus","T",16,93.9914055057926,5.0464594950196,84.100526646114,100,59523.3058795175,3939.90110966969,51801.2416019155,67245.3701571194
"15","Basin","ZONE 5","TNTStatus","NT",1,6.00859449420739,5.0464594950196,0,15.899473353886,3805.15012048255,3193.4761093673,0,10064.2482803316
"16","Basin","ZONE 5","TNTStatus","Total",17,100,0,100,100,63328.456,2323.12802248009,58775.2087444633,67881.7032555367
"17","Basin","ZONE 6","TNTStatus","T",17,99.9610618860946,0.0436929105465018,99.8754253550438,100,129950.558992843,46390.2590025812,39027.3221142986,220873.795871387
"18","Basin","ZONE 6","TNTStatus","NT",1,0.0389381139053596,0.043692910546501,0,0.124574644956232,50.6200071573304,43.7610402808238,0,136.390070033752
"19","Basin","ZONE 6","TNTStatus","Total",18,100,0,100,100,130001.179,46362.952843083,39131.4612106285,220870.896789372
"20","Combined","All Basins","EXCLUSION.CATEGORY","DRY",1,1.70463330867987,1.40212145610207,0,4.4527408645908,6552.16479627954,5375.60084404822,0,17088.1488458772
