"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","Combined","All Basins","EXCLUSION.CATEGORY","DRY",1,1.75652573050895,1.44480481661437,0,4.58829113576311,6549.57760794423,5373.47823385274,0,17081.4014180055
"2","Combined","All Basins","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",7,2.36055217695973,1.58811595672792,0,5.47320225541982,8801.81793643282,5879.50518619735,0,20325.4363482961
"3","Combined","All Basins","EXCLUSION.CATEGORY","SAMPLED",88,80.6839791591341,9.31985650958689,62.4173960592626,98.9505622590056,300847.277123226,43035.931124683,216498.402077701,385196.152168751
"4","Combined","All Basins","EXCLUSION.CATEGORY","UNABLE TO ACCESS",12,15.1989429333972,9.07227125315057,0,32.9802678475504,56672.4725815185,36018.6528264837,0,127267.734893078
"5","Combined","All Basins","EXCLUSION.CATEGORY","Total",108,100,0,100,100,372871.145249122,37466.763583896,299437.638007409,446304.652490835
"6","Basin","ZONE 1","EXCLUSION.CATEGORY","SAMPLED",15,88.5761481857868,6.69135722960258,75.461329008074,100,15482.4187848009,1176.50994762818,13176.5016599966,17788.3359096052
"7","Basin","ZONE 1","EXCLUSION.CATEGORY","UNABLE TO ACCESS",2,11.4238518142132,6.69135722960258,0,24.538670991926,1996.80005899757,1175.73983454742,0,4301.20778989958
"8","Basin","ZONE 1","EXCLUSION.CATEGORY","Total",17,100,0,100,100,17479.2188437985,380.032009398141,16734.3697924057,18224.0678951912
"9","Basin","ZONE 2","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",6,22.6110930763088,5.91366601210275,11.0205206759888,34.2016654766288,1730.7333334411,451.232437570101,846.334007147483,2615.13265973471
"10","Basin","ZONE 2","EXCLUSION.CATEGORY","SAMPLED",15,58.8977473111092,5.3020606905895,48.5058993137083,69.2895953085102,4508.24266619525,419.892686682623,3685.26812292555,5331.21720946496
"11","Basin","ZONE 2","EXCLUSION.CATEGORY","UNABLE TO ACCESS",5,18.4911596125819,5.25149094670862,8.19842649189487,28.783892733269,1415.37900036364,399.471893467006,632.428476332292,2198.329524395
"12","Basin","ZONE 2","EXCLUSION.CATEGORY","Total",26,100,0,100,100,7654.355,56.6331230317026,7543.35611852584,7765.35388147416
"13","Basin","ZONE 3","EXCLUSION.CATEGORY","DRY",1,5.40868071940045,4.44883204338533,0,14.1282312977034,6549.57760794423,5373.47823385274,0,17081.4014180055
"14","Basin","ZONE 3","EXCLUSION.CATEGORY","NO PERMISSION FROM OWNER",1,5.83934434352861,4.87580679352053,0,15.3957500544046,7071.08460299172,5862.16432060771,0,18560.7155428385
"15","Basin","ZONE 3","EXCLUSION.CATEGORY","SAMPLED",15,88.7519749370709,6.57059171121013,75.8738518259817,100,107473.148789064,9129.22382936431,89580.1988767052,125366.098701423
"16","Basin","ZONE 3","EXCLUSION.CATEGORY","Total",17,100,0,100,100,121093.811,3367.82959962818,114492.986278661,127694.635721339
"17","Basin","ZONE 4","EXCLUSION.CATEGORY","SAMPLED",14,93.3968776929345,5.52650988813193,82.5651173519915,100,34665.8661628987,2080.59562574459,30587.9736700477,38743.7586557497
"18","Basin","ZONE 4","EXCLUSION.CATEGORY","UNABLE TO ACCESS",1,6.60312230706547,5.52650988813192,0,17.4348826480085,2450.86302463513,2049.45872747468,0,6467.72831828678
"19","Basin","ZONE 4","EXCLUSION.CATEGORY","Total",15,100,0,100,100,37116.7291875338,133.923708613795,36854.2435419747,37379.2148330929
"20","Basin","ZONE 5","EXCLUSION.CATEGORY","SAMPLED",14,87.0601939025432,6.78598499031558,73.7599077218952,100,51843.2885665996,4738.19765706505,42556.5918071201,61129.9853260792
"21","Basin","ZONE 5","EXCLUSION.CATEGORY","UNABLE TO ACCESS",2,12.9398060974568,6.78598499031558,0,26.2400922781048,7705.49744303641,4013.62434350831,0,15572.0566037859
"22","Basin","ZONE 5","EXCLUSION.CATEGORY","Total",16,100,0,100,100,59548.786009636,2308.36784564187,55024.4681691076,64073.1038501644
"23","Basin","ZONE 6","EXCLUSION.CATEGORY","SAMPLED",15,66.8375788690968,25.7736463523979,16.3221602681247,100,86874.3121536675,41718.2065688512,5108.12977911675,168640.494528218
"24","Basin","ZONE 6","EXCLUSION.CATEGORY","UNABLE TO ACCESS",2,33.1624211309032,25.7736463523979,0,83.6778397318753,43103.9330544858,35714.0301287341,0,113102.145849583
"25","Basin","ZONE 6","EXCLUSION.CATEGORY","Total",17,100,0,100,100,129978.245208153,37241.401261635,56986.4400015441,202970.050414762
