"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Sample_Depth","Sample_Depth_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","pH_Field","pH_Field_VQ","Water_Temperature","Water_Temperature_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Weather","Weather_VQ","Water_Level","Water_Level_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Fluoride_Total","Fluoride_Total_VQ","Sulfate_Total","Sulfate_Total_VQ","Color_true","Color_true_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Chloride_Total","Chloride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Calcium_Total","Calcium_Total_VQ","Barium_Total","Barium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Lead_Total","Lead_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Antimony_Total","Antimony_Total_VQ","Copper_Total","Copper_Total_VQ","Nickel_Total","Nickel_Total_VQ","Iron_Total","Iron_Total_VQ","Zinc_Total","Zinc_Total_VQ","Selenium_Total","Selenium_Total_VQ","Sodium_Total","Sodium_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Chromium_Total","Chromium_Total_VQ","Silver_Total","Silver_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Thallium_Total","Thallium_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Potassium_Total","Potassium_Total_VQ","Mercury_Sediments","Mercury_Sediments_VQ","Antimony_Sediments","Antimony_Sediments_VQ","Zinc_Sediments","Zinc_Sediments_VQ","Iron_Sediments","Iron_Sediments_VQ","Chromium_Sediments","Chromium_Sediments_VQ","Aluminum_Sediments","Aluminum_Sediments_VQ","Silver_Sediments","Silver_Sediments_VQ","Nickel_Sediments","Nickel_Sediments_VQ","Manganese_Sediments","Manganese_Sediments_VQ","Selenium_Sediments","Selenium_Sediments_VQ","Beryllium_Sediments","Beryllium_Sediments_VQ","Sediment_Sample_Collection_Device","Sediment_Sample_Collection_Device_VQ","Sediment_Collection_Area","Sediment_Collection_Area_VQ","Sediment_Type","Sediment_Type_VQ","Sediment_Odor","Sediment_Odor_VQ","Sediment_Color","Sediment_Color_VQ","Sediment_Grabs","Sediment_Grabs_VQ","Arsenic_Sediments","Arsenic_Sediments_VQ","Molybdenum_Sediments","Molybdenum_Sediments_VQ","Lead_Sediments","Lead_Sediments_VQ","Copper_Sediments","Copper_Sediments_VQ","Cadmium_Sediments","Cadmium_Sediments_VQ","Phosphorus_Total_as_P__Sediments","Phosphorus_Total_as_P__Sediments_VQ","Organic_Carbon_Sediments","Organic_Carbon_Sediments_VQ","Total_Kjeldahl_Nitrogen_Total_as_N","Total_Kjeldahl_Nitrogen_Total_as_N_VQ","Carbon_Total_Sediments","Carbon_Total_Sediments_VQ","Inorganic_Carbon_Sediments","Inorganic_Carbon_Sediments_VQ","Salinity_ppt","Salinity_ppt_VQ","BLOOM_ID","BLOOM_ID_VQ"
"1",56141,"Z3-LL-13003",2019-05-09 10:25:00,"PRIMARY","WATER",8.06,NA,0.35,NA,1.4,NA,0.29,NA,377,NA,8.92,NA,27.106,NA,101.4,NA,1,NA,NA,NA,NA,NA,124,NA,176,NA,0.009,NA,0.004,"U",21,NA,389,NA,0.25,NA,14,NA,15,NA,0.078,NA,2.1,NA,21,NA,35,NA,22,"I",4.5,"U",35,NA,35,NA,1,"Q",168,NA,41.9,NA,33.8,NA,16.1,NA,10.9,NA,0.26,"I",0.01,"U",0.21,NA,0.4,"U",0.5,"U",30,"U",5,"U",0.2,"U",18.6,NA,0.02,"U",0.4,"U",0.01,"U",2.7,NA,0.1,"U",102,NA,15.3,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",56150,"Z3-LL-13014",2019-05-09 12:48:00,"PRIMARY","WATER",8.85,NA,0.33,NA,1.8,NA,0.29,NA,381.2,NA,8.94,NA,27.898,NA,113,NA,1,NA,NA,NA,NA,NA,126,NA,182,NA,0.009,NA,0.004,"U",20,NA,394,NA,0.26,NA,14,NA,15,NA,0.063,NA,2.4,NA,21,NA,36,NA,20,"I",9,"U",34,NA,33,NA,1,"UQ",166,NA,41.2,NA,33.4,NA,14.8,NA,11.6,NA,0.22,"I",0.01,"U",0.22,NA,0.4,"U",0.5,"U",30,"U",5,"U",0.2,"U",18.5,NA,0.02,"U",0.4,"U",0.01,"U",2.79,NA,0.1,"U",110,NA,15.3,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",56150,"Z3-LL-13014",2019-05-09 12:50:00,"BOTTOM","WATER",8.49,NA,1.31,NA,1.8,NA,0.29,NA,380.3,NA,8.92,NA,26.797,NA,106.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",56150,"Z3-LL-13014",2019-05-09 13:05:00,"PRIMARY","SEDIMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,0.44,"U",25,NA,6050,NA,15,NA,10400,NA,0.068,"I",8.7,"U",114,NA,2.6,NA,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8.33,NA,6.11,NA,16,NA,14,NA,0.19,"I",1000,NA,30,NA,28000,NA,32,NA,1.6,NA,NA,NA,NA,NA
"5",56146,"Z3-LL-13010",2019-05-13 09:22:00,"PRIMARY","WATER",7.95,NA,0.32,NA,5,NA,0.74,NA,239.3,NA,8.72,NA,27.501,NA,100.8,NA,1,NA,NA,NA,NA,NA,83,NA,144,NA,0.005,NA,0.004,"U",5.3,"A",241,NA,0.11,NA,5.4,NA,23,"A",0.013,NA,1.2,NA,14,NA,19,NA,11,NA,2.2,"U",28,NA,29,NA,1,"UQ",95,NA,29.1,NA,12.5,NA,16.2,NA,2.2,NA,0.2,"U",0.01,"U",0.05,"U",0.4,"U",0.5,"U",30,"U",5,"U",0.2,"U",9.4,NA,0.02,"U",0.4,"U",0.01,"U",0.93,NA,0.1,"U",15,"I",5.42,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",56146,"Z3-LL-13010",2019-05-13 09:24:00,"BOTTOM","WATER",7.45,NA,4.5,NA,5,NA,0.74,NA,239.2,NA,8.61,NA,27.301,NA,94.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",56146,"Z3-LL-13010",2019-05-13 09:40:00,"PRIMARY","SEDIMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,0.51,"I",47,NA,14000,NA,26,NA,28800,NA,0.065,"I",11,"I",71.7,NA,3.7,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10.9,NA,5.24,NA,43.2,NA,23.1,NA,0.43,NA,1100,NA,32,NA,34000,NA,32,NA,0.12,"U",NA,NA,NA,NA
"8",0,NA,2019-05-13 11:10:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.65,"U",15,"U",0.002,"U",0.004,"U",0.1,"U",2,"U",0.035,"U",0.2,"U",2.5,"U",0.002,"U",0.08,"U",0.5,"U",0.2,"U",2,"U",NA,NA,NA,NA,NA,NA,1,"UQ",0.35,"U",0.075,"U",1,"U",1,"U",0.15,"U",0.2,"U",0.01,"U",0.05,"U",0.4,"U",0.5,"U",30,"U",5,"U",0.2,"U",0.5,"U",0.02,"U",0.4,"U",0.01,"U",0.05,"U",0.1,"U",5,"U",0.04,"U",0.3,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",56144,"Z3-LL-13006",2019-05-14 14:30:00,"PRIMARY","WATER",8.81,NA,0.3,NA,2.5,NA,1,NA,399.3,NA,8.48,NA,27.694,NA,112,NA,2,NA,NA,NA,NA,NA,117,NA,232,NA,0.006,NA,0.004,"U",3.6,"A",408,NA,0.23,NA,26,NA,20,NA,0.028,NA,1.4,NA,15,NA,36,NA,8,"I",1.8,"U",19,NA,20,NA,11,"Q",157,NA,39.7,NA,32.9,NA,19.7,NA,7.6,NA,0.2,"U",0.01,"U",0.15,"I",0.4,"U",0.5,"U",30,"U",5,"U",0.2,"U",17.9,NA,0.02,"U",0.4,"U",0.01,"U",2.4,NA,0.1,"U",60,NA,14.2,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",56144,"Z3-LL-13006",2019-05-14 14:32:00,"BOTTOM","WATER",7.79,NA,1.94,NA,2.5,NA,1,NA,399.9,NA,8.2,NA,26.963,NA,97.7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
